epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6796,3.48368,3.58536,2.70538,0,0,0,0,0,0,0,0.067495,0.000663366,0.000663366
2,72.2933,2.81888,2.85412,2.27967,0,0,0,0,0,0,0,0.034802,0.0013037,0.0013037
3,105.583,2.49525,2.42073,2.12837,0,0,0,0,0,0,0,0.00208265,0.00191763,0.00191763
4,139.491,2.22336,2.17618,2.05643,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,172.037,2.10552,2.0215,1.96934,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,204.135,1.99953,1.93318,1.90584,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,236.29,1.92569,1.84296,1.88408,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,270.88,1.85274,1.72532,1.84118,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,304.378,1.76778,1.67088,1.81674,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,337.447,1.74562,1.59457,1.75041,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,370.198,1.71516,1.59831,1.73946,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,403.989,1.66338,1.52478,1.70661,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,453.106,1.61901,1.46439,1.72008,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,487.052,1.58719,1.46211,1.70114,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,519.185,1.58789,1.43301,1.66899,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,552.956,1.52869,1.40009,1.65091,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,585.638,1.54909,1.39473,1.62622,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,616.72,1.52924,1.3464,1.62944,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,648.685,1.51428,1.35409,1.58649,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,680.434,1.49084,1.31591,1.60446,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,712.872,1.46004,1.27351,1.58099,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,746.141,1.4409,1.26004,1.58697,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,779.443,1.43525,1.23208,1.55822,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,811.178,1.43309,1.25222,1.55122,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,845.216,1.39381,1.20733,1.51043,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,880.231,1.38509,1.19439,1.55554,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,912.549,1.39216,1.20424,1.52466,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,944.178,1.34882,1.15532,1.5082,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,977.945,1.34174,1.15383,1.52542,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,1009.5,1.37676,1.1599,1.51456,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,1043.25,1.30947,1.12706,1.48814,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,1075.77,1.32985,1.1246,1.4932,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,1107.55,1.29843,1.10347,1.48184,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,1142.41,1.30608,1.09394,1.49235,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,1176.34,1.29434,1.1078,1.49318,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,1209.34,1.30713,1.10763,1.49259,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,1242.3,1.28807,1.07349,1.46369,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,1273.63,1.28565,1.0816,1.45524,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,1306.04,1.29751,1.08558,1.45281,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,1337.81,1.26639,1.06484,1.4641,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,1370.45,1.21072,1.04277,1.49916,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,1401.77,1.22409,1.02854,1.47854,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,1433.09,1.20504,1.01536,1.47469,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,1465.61,1.19508,1.01467,1.47782,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,1497.24,1.18705,0.99897,1.46485,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,1528.1,1.17534,0.99331,1.44744,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,1559.03,1.1629,0.97036,1.45506,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,1590.1,1.16731,0.97616,1.43791,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,1622.67,1.15939,0.97922,1.47788,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,1676.14,1.14337,0.95477,1.45473,0.72001,0.49125,0.54355,0.388,1.10411,1.03226,1.49196,5.96e-05,5.96e-05,5.96e-05
